id|url|title|summary|date_published|reader|writer|reader_wikidata|writer_wikidata
sarah-shun-lien-bynum-reads-yiyun-li|https://www.newyorker.com/podcast/fiction/sarah-shun-lien-bynum-reads-yiyun-li|Sarah Shun-lien Bynum Reads Yiyun Li|Sarah Shun-lien Bynum reads and discusses “Extra,” by Yiyun Li.|2017-12-01|Sarah Shun-Lien Bynum|Yiyun Li|Q7422768|Q460088
lauren-groff-reads-shirley-hazzard|https://www.newyorker.com/podcast/fiction/lauren-groff-reads-shirley-hazzard|Lauren Groff Reads Shirley Hazzard|Lauren Groff reads and discusses “In These Islands,” by Shirley Hazzard|2017-11-01|Lauren Groff|Shirley Hazzard|Q6500240|Q1230809
matthew-klam-reads-john-updike|https://www.newyorker.com/podcast/fiction/matthew-klam-reads-john-updike|Matthew Klam Reads John Updike|Matthew Klam reads and discusses “Twin Beds in Rome,” by John Updike.|2017-10-02|Matthew Klam|John Updike|Q6790814|Q105756
curtis-sittenfeld-reads-tessa-hadley|https://www.newyorker.com/podcast/fiction/curtis-sittenfeld-reads-tessa-hadley|Curtis Sittenfeld Reads Tessa Hadley|Curtis Sittenfeld reads and discusses “The Surrogate,” by Tessa Hadley.|2017-09-01|Curtis Sittenfeld|Tessa Hadley|Q456855|Q23014955
akhil-sharma-reads-jeffrey-eugenides|https://www.newyorker.com/podcast/fiction/akhil-sharma-reads-jeffrey-eugenides|Akhil Sharma Reads Jeffrey Eugenides|Akhil Sharma reads and discusses “Baster,” by Jeffrey Eugenides.|2017-08-01|Akhil Sharma|Jeffrey Eugenides|Q4700740|Q357108
gabe-hudson-reads-robert-coover|https://www.newyorker.com/podcast/fiction/gabe-hudson-reads-robert-coover|Gabe Hudson Reads Robert Coover|Gabe Hudson reads and discusses “The Frog Prince,” by Robert Coover.|2017-07-03|Gabe Hudson|Robert Coover|Q5515332|Q1282338
colm-toibin-reads-mary-lavin|https://www.newyorker.com/podcast/fiction/colm-toibin-reads-mary-lavin|Colm Tóibín Reads Mary Lavin||2017-06-01|Colm Tóibín|Mary Lavin|Q470758|Q3296204
rachel-kushner-reads-thom-jones|https://www.newyorker.com/podcast/fiction/rachel-kushner-reads-thom-jones|Rachel Kushner Reads Thom Jones||2017-05-01|Rachel Kushner|Thom Jones|Q7279300|Q7786728
salman-rushdie-reads-italo-calvino|https://www.newyorker.com/podcast/fiction/salman-rushdie-reads-italo-calvino|Salman Rushdie Reads Italo Calvino||2017-04-03|Salman Rushdie|Italo Calvino|Q44306|Q154756
mary-gaitskill-reads-john-cheever|https://www.newyorker.com/podcast/fiction/mary-gaitskill-reads-john-cheever|Mary Gaitskill Reads John Cheever||2017-03-01|Mary Gaitskill|John Cheever|Q545781|Q336151
