wid|person|personLabel|photo|genderLabel|citizenshipLabel|sitelink|lccn|description|birth|pPrize
Q450346|http://www.wikidata.org/entity/Q450346|Edwidge Danticat|http://commons.wikimedia.org/wiki/Special:FilePath/Edwidge%20Danticat%20by%20David%20Shankbone.jpg|female|Haiti|https://en.wikipedia.org/wiki/Edwidge_Danticat|n93100617|Novelist, short story writer, memoirist|1969-01-19T00:00:00Z|false
Q378882|http://www.wikidata.org/entity/Q378882|Etgar Keret|http://commons.wikimedia.org/wiki/Special:FilePath/Etgar-keret-photo-by-moti-kikayon.jpg|male|Poland|https://en.wikipedia.org/wiki/Etgar_Keret|nr92037947|Israeli and polish writer and screenwriter|1967-08-20T00:00:00Z|false
Q322261|http://www.wikidata.org/entity/Q322261|Tim Parks||male|United Kingdom|https://en.wikipedia.org/wiki/Tim_Parks|n85296030|British writer|1954-12-19T00:00:00Z|false
Q340016|http://www.wikidata.org/entity/Q340016|Denis Johnson||male|United States of America|https://en.wikipedia.org/wiki/Denis_Johnson|n81147004|American novelist, playwright|1949-07-01T00:00:00Z|false
Q359548|http://www.wikidata.org/entity/Q359548|Jonathan Safran Foer|http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan%20Safran%20Foer.jpg|male|United States of America|https://en.wikipedia.org/wiki/Jonathan_Safran_Foer|no2001058572|novelist|1977-02-21T00:00:00Z|false
Q378882|http://www.wikidata.org/entity/Q378882|Etgar Keret|http://commons.wikimedia.org/wiki/Special:FilePath/Etgar-keret-photo-by-moti-kikayon.jpg|male|Israel|https://en.wikipedia.org/wiki/Etgar_Keret|nr92037947|Israeli and polish writer and screenwriter|1967-08-20T00:00:00Z|false
Q402664|http://www.wikidata.org/entity/Q402664|Junot Díaz|http://commons.wikimedia.org/wiki/Special:FilePath/Junot%20D%C3%ADaz%20%28cropped%29.jpg|male|United States of America|https://en.wikipedia.org/wiki/Junot_D%C3%ADaz|n96034971|Dominican-American writer|1968-12-31T00:00:00Z|false
Q351547|http://www.wikidata.org/entity/Q351547|Bernard Malamud|http://commons.wikimedia.org/wiki/Special:FilePath/Bernard%20Malamud.jpg|male|United States of America|https://en.wikipedia.org/wiki/Bernard_Malamud|n79046272|American author|1914-04-26T00:00:00Z|true
Q357108|http://www.wikidata.org/entity/Q357108|Jeffrey Eugenides|http://commons.wikimedia.org/wiki/Special:FilePath/Eugenides%2C%20Jeffrey.jpg|male|United States of America|https://en.wikipedia.org/wiki/Jeffrey_Eugenides|n92097279|novelist, short story writer, teacher|1960-03-08T00:00:00Z|true
Q447902|http://www.wikidata.org/entity/Q447902|Daniel Alarcón|http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Alarcon.jpg|male|Peru|https://en.wikipedia.org/wiki/Daniel_Alarc%C3%B3n|n2004040210|writer|1977-03-05T00:00:00Z|false
Q442679|http://www.wikidata.org/entity/Q442679|Louise Erdrich|http://commons.wikimedia.org/wiki/Special:FilePath/Louise%20erdrich%208199.jpg|female|United States of America|https://en.wikipedia.org/wiki/Louise_Erdrich|n83129937|writer from the United States|1954-06-07T00:00:00Z|false
Q353869|http://www.wikidata.org/entity/Q353869|Donald Barthelme|http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Barthelme%20%28author%29.jpg|male|United States of America|https://en.wikipedia.org/wiki/Donald_Barthelme|n50023795|American writer, editor, and professor|1931-04-07T00:00:00Z|false
Q443966|http://www.wikidata.org/entity/Q443966|Grace Paley||female|United States of America|https://en.wikipedia.org/wiki/Grace_Paley|n79139236|American writer and activist|1922-12-11T00:00:00Z|false
Q447902|http://www.wikidata.org/entity/Q447902|Daniel Alarcón|http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Alarcon.jpg|male|United States of America|https://en.wikipedia.org/wiki/Daniel_Alarc%C3%B3n|n2004040210|writer|1977-03-05T00:00:00Z|false
Q439226|http://www.wikidata.org/entity/Q439226|Téa Obreht|http://commons.wikimedia.org/wiki/Special:FilePath/T%C3%A9a%20Obreht%202014.jpg|female|United States of America|https://en.wikipedia.org/wiki/T%C3%A9a_Obreht|n2010014061|American fiction writer|1985-09-30T00:00:00Z|false
Q382604|http://www.wikidata.org/entity/Q382604|John Berger|http://commons.wikimedia.org/wiki/Special:FilePath/John%20Berger-2009%20%286%29.jpg|male|United Kingdom|https://en.wikipedia.org/wiki/John_Berger|n79135220|British painter, writer and art critic|1926-11-05T00:00:00Z|false
Q335232|http://www.wikidata.org/entity/Q335232|E. L. Doctorow|http://commons.wikimedia.org/wiki/Special:FilePath/E%20l%20doctorow%202751.JPG|male|United States of America|https://en.wikipedia.org/wiki/E._L._Doctorow|n79021656|novelist, editor, professor|1931-01-06T00:00:00Z|false
Q444849|http://www.wikidata.org/entity/Q444849|Cynthia Ozick||female|United States of America|https://en.wikipedia.org/wiki/Cynthia_Ozick|n80046659|American writer|1928-04-17T00:00:00Z|false
Q442330|http://www.wikidata.org/entity/Q442330|Elizabeth Taylor||female|United Kingdom|https://en.wikipedia.org/wiki/Elizabeth_Taylor_(novelist)|n50009260|British writer|1912-07-03T00:00:00Z|false
Q440100|http://www.wikidata.org/entity/Q440100|Jonathan Lethem|http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan%20Lethem%20by%20David%20Shankbone.jpg|male|United States of America|https://en.wikipedia.org/wiki/Jonathan_Lethem|n93046269|Novelist, essayist, short story writer|1964-02-19T00:00:00Z|false
Q7279300|http://www.wikidata.org/entity/Q7279300|Rachel Kushner|http://commons.wikimedia.org/wiki/Special:FilePath/Rachel%20Kushner%202015%20%28cropped%29.jpg|female|United States of America|https://en.wikipedia.org/wiki/Rachel_Kushner|nr2004014752|writer from the United States|1968-01-01T00:00:00Z|false
Q16204726|http://www.wikidata.org/entity/Q16204726|Alice Mattison||female|United States of America|https://en.wikipedia.org/wiki/Alice_Mattison|n82080489|American writer||false
Q7422768|http://www.wikidata.org/entity/Q7422768|Sarah Shun-lien Bynum||female|United States of America|https://en.wikipedia.org/wiki/Sarah_Shun-lien_Bynum|n2004036294|American writer|1972-01-01T00:00:00Z|false
Q17385807|http://www.wikidata.org/entity/Q17385807|David Gilbert||male|United States of America|https://en.wikipedia.org/wiki/David_Gilbert_(author)|n97100215|American author|1967-01-01T00:00:00Z|false
Q7815662|http://www.wikidata.org/entity/Q7815662|Tom Drury||male|United States of America|https://en.wikipedia.org/wiki/Tom_Drury|n93107058|American writer|1956-01-01T00:00:00Z|false
Q20707944|http://www.wikidata.org/entity/Q20707944|Ottessa Moshfegh|http://commons.wikimedia.org/wiki/Special:FilePath/Ottessa%20Moshfegh%202015.jpg|female|United States of America|https://en.wikipedia.org/wiki/Ottessa_Moshfegh|no2014170355|American author and novelist|1981-05-01T00:00:00Z|false
Q7406693|http://www.wikidata.org/entity/Q7406693|Salvatore Scibona||male|United States of America|https://en.wikipedia.org/wiki/Salvatore_Scibona||American writer|1975-06-02T00:00:00Z|false
Q7786728|http://www.wikidata.org/entity/Q7786728|Thom Jones||male|United States of America|https://en.wikipedia.org/wiki/Thom_Jones|n92100400|short story writer|1945-01-26T00:00:00Z|false
Q8063320|http://www.wikidata.org/entity/Q8063320|ZZ Packer|http://commons.wikimedia.org/wiki/Special:FilePath/Zz%20packer%202009.jpg|female|United States of America|https://en.wikipedia.org/wiki/ZZ_Packer|n2002037157|Novelist, short story writer|1973-01-12T00:00:00Z|false
Q7493065|http://www.wikidata.org/entity/Q7493065|Sheila Heti|http://commons.wikimedia.org/wiki/Special:FilePath/Sheila%20Heti%20Octavia%20Books%2029%20June%202013%20A.JPG|female|Canada|https://en.wikipedia.org/wiki/Sheila_Heti|n2001041365|Canadian writer|1976-12-25T00:00:00Z|false
Q460088|http://www.wikidata.org/entity/Q460088|Yiyun Li||female|United States of America|https://en.wikipedia.org/wiki/Yiyun_Li|n2004151571|Chinese American writer|1972-11-04T00:00:00Z|false
Q7301712|http://www.wikidata.org/entity/Q7301712|Rebecca Curtis||female|United States of America|https://en.wikipedia.org/wiki/Rebecca_Curtis||American writer|1976-01-01T00:00:00Z|false
Q464960|http://www.wikidata.org/entity/Q464960|Monica Ali|http://commons.wikimedia.org/wiki/Special:FilePath/Monica%20Ali%20Frankfurter%20Buchmesse%202009.jpg|female|Bangladesh|https://en.wikipedia.org/wiki/Monica_Ali|n2003033939|British writer and novelist|1967-10-20T00:00:00Z|false
Q15452903|http://www.wikidata.org/entity/Q15452903|Joy Williams||female||https://en.wikipedia.org/wiki/Joy_Williams_(Australian_writer)|n2010037273|Australian writer|1942-09-13T00:00:00Z|false
